sample_name,sample_height,sample_facies,sample_features,clast_len_cm,clast_width_cm,d13c_carb,d18o_carb
C9_4.5_ICT_1,4.5,pink crystalline limestone,,NaN,NaN,-9.661478996,-15.33610916
C9_4.5_ICT_2,4.5,grey crystalline limestone,,NaN,NaN,-9.464084625,-15.30616283
C9_4.5_ICT_3,4.5,grey crystalline limestone,,NaN,NaN,-9.709815979,-15.37877274
C9_4.5_ICT_4,4.5,grey crystalline limestone,,NaN,NaN,-9.214392662,-15.3750391
C9_4.5_ICT_5,4.5,pink crystalline limestone,,NaN,NaN,-9.508453369,-15.58751297
C9_4.5_ICT_6,4.5,pink crystalline limestone,,NaN,NaN,-9.650758743,-15.14191341
C9_4.5_ICT_7,4.5,pink crystalline limestone,,NaN,NaN,-9.172099113,-15.59666061
C9_4.5_ICT_8,4.5,pink crystalline limestone,,NaN,NaN,-9.453913689,-15.7353487
C9_4.5_ICT_9,4.5,pink crystalline limestone,,NaN,NaN,-9.441609383,-15.27811146
C9_4.5_ICT_10,4.5,pink crystalline limestone,,NaN,NaN,-9.655954361,-15.49839497
C9_4.5_ICT_11,4.5,pink crystalline limestone,,NaN,NaN,-9.277425766,-15.5241642
C9_4.5_ICT_12,4.5,pink crystalline limestone,,NaN,NaN,-9.218527794,-15.40135765
C9_4.5_ICT_13,4.5,pink crystalline limestone,,NaN,NaN,-9.449594498,-15.48446751
C9_4.5_ICT_14,4.5,pink crystalline limestone,,NaN,NaN,-9.824016571,-15.51350403
C9_4.5_ICT_15,4.5,pink crystalline limestone,,NaN,NaN,-9.311452866,-15.21645164
C9_5.9_ICT_1,5.9,pink crystalline limestone,,NaN,NaN,-9.415397644,-15.01393986
C9_5.9_ICT_2,5.9,pink crystalline limestone,,NaN,NaN,-9.222557068,-15.35836792
C9_5.9_ICT_3,5.9,pink crystalline limestone,,NaN,NaN,-8.947008133,-15.23706627
C9_5.9_ICT_4,5.9,pink crystalline limestone,,NaN,NaN,-9.052242279,-15.28559494
C9_5.9_ICT_5,5.9,pink crystalline limestone,,NaN,NaN,-9.073623657,-15.15353012
C9_5.9_ICT_6,5.9,pink crystalline limestone,,NaN,NaN,-9.455491066,-15.23772335
C9_5.9_ICT_7,5.9,pink crystalline limestone,,NaN,NaN,-9.545599937,-15.13882732
C9_5.9_ICT_8,5.9,pink crystalline limestone,,NaN,NaN,-9.341773987,-15.50141907
C9_5.9_ICT_9,5.9,pink crystalline limestone,,NaN,NaN,-9.082722664,-15.09553909
C9_5.9_ICT_10,5.9,pink crystalline limestone,,NaN,NaN,-9.316968918,-15.13550568
C9_5.9_ICT_11,5.9,pink crystalline limestone,,NaN,NaN,-9.25651741,-15.20219231
C9_5.9_ICT_12,5.9,pink crystalline limestone,,NaN,NaN,-9.571706772,-15.13251209
C9_5.9_ICT_13,5.9,pink crystalline limestone,,NaN,NaN,-9.029802322,-15.19258118
C9_5.9_ICT_14,5.9,pink crystalline limestone,,NaN,NaN,-9.441684723,-15.35449791
C9_5.9_ICT_15,5.9,pink crystalline limestone,,NaN,NaN,-9.300785065,-15.17922592
C9_5.9_ICT_16,5.9,pink crystalline limestone,,NaN,NaN,-9.430177689,-15.31320858
C9_5.9_ICT_17,5.9,pink crystalline limestone,,NaN,NaN,-9.509906769,-15.22203827
C9_5.9_ICT_18,5.9,pink crystalline limestone,,NaN,NaN,-9.435791016,-15.41671944
C9_5.9_ICT_19,5.9,pink crystalline limestone,,NaN,NaN,-9.887454987,-15.16328335
C9_5.9_ICT_20,5.9,pink crystalline limestone,,NaN,NaN,-9.293453217,-15.34067822
