sample_name,sample_height,sample_facies,sample_features,length_cm,width_cm,colour,d13c_carb,d18o_carb
C14_ICT_69,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.007089615,-14.95781326
C14_ICT_70,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.498086929,-15.20665359
C14_ICT_71,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.677681923,-14.74099541
C14_ICT_72,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.763290405,-14.91211414
C14_ICT_73,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.613397598,-14.90766716
C14_ICT_74,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.29181385,-14.9034214
C14_ICT_75,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.433473587,-14.9688549
C14_ICT_76,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.085343361,-14.88218403
C14_ICT_77,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.343067169,-14.94455338
C14_ICT_78,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.627338409,-14.89140606
C14_ICT_79,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.079351425,-14.94930935
C14_ICT_80,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.435567856,-14.96943951
C14_ICT_81,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.037513733,-15.00562
C14_ICT_82,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.034975052,-15.11125755
C14_ICT_83,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.805258751,-14.90884113
C14_ICT_84,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.199623108,-14.98727798
C14_ICT_85,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.487956047,-14.89610958
C14_ICT_86,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.468263626,-15.0653019
C14_ICT_87,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.298033714,-15.00552559
C14_ICT_88,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.707789421,-15.17882538
C14_ICT_89,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.094667435,-15.0029726
C14_ICT_90,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.111845016,-15.01725674
C14_ICT_91,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.075675964,-15.24415016
C14_ICT_92,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.665513992,-15.0085516
C14_ICT_93,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.974749565,-14.94725895
C14_ICT_94,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.483869553,-14.88718605
C14_ICT_95,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.979011536,-14.8740797
C14_ICT_96,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.869258881,-15.01837635
C14_ICT_97,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.018239975,-14.71721363
C14_ICT_98,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.240543365,-14.85864067
C14_ICT_99,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.680620193,-14.82556725
C14_ICT_100,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.014705658,-14.8901701
