sample_name,sample_height,sample_facies,sample_features,clast_len_cm,clast_width_cm,min_drildist_from_matrix_mm,d13c_carb,d18o_carb
C16_105.1_ICT_64,105.1,sandy limestone,,5,1,NaN,-8.02315712,-18.53384209
C16_105.1_ICT_66,105.1,grey crystalline limestone,,7,1.5,1,-7.045972347,-20.93879318
C16_105.1_ICT_67,105.1,sandy limestone,,8,2,NaN,-7.928431034,-18.23027992
C16_105.1_ICT_68,105.1,tan crystalline limestone,,5,3,2,-7.752800465,-19.94677734
C16_105.1_ICT_69,105.1,limestone cemented sandstone,,7,4,NaN,-7.76946497,-18.06207466
C16_105.1_ICT_70,105.1,sandy limestone,,6,2,1.5,-7.107049942,-20.82077789
C16_105.1_ICT_72,105.1,laminated sandy limestone,,10,3,1.5,-5.996884346,-21.62447739
C16_105.1_ICT_73,105.1,limestone cemented sandstone,,5,2,NaN,-6.993067741,-18.71595764
C16_105.1_ICT_74,105.1,tan crystalline limestone,,5,3,2,-8.381801605,-17.83250999
C16_105.1_ICT_75,105.1,tan crystalline limestone,,2,1,0.5,-8.172977448,-17.95808411
C16_105.1_ICT_76,105.1,dolostone,,2,2,NaN,-7.312349319,-11.9679327
C16_105.1_ICT_77,105.1,dolostone,,3,2,2,-3.635940552,-10.9049921
C16_105.1_ICT_78,105.1,dolostone,,2,1,3,-5.727415085,-16.10484314
C16_105.1_ICT_79,105.1,grey crystalline limestone,,18,4,1,-6.66225481,-20.33149338
C16_105.1_ICT_80,105.1,tan crystalline limestone,,3,2,1,-7.139602661,-20.93325806
C16_105.1_ICT_81,105.1,grey crystalline limestone,,1,1,0.5,-7.131355286,-23.08750153
C16_105.1_ICT_82,105.1,grey crystalline limestone,,2,1,0.25,-6.019141674,-23.19606018
C16_105.1_ICT_83,105.1,tan crystalline limestone,,4,3,0.25,-8.684562683,-17.56525421
C16_105.1_ICT_84,105.1,sand rimmed limestone,,2,2,1,-9.105570793,-17.86198997
C16_105.1_ICT_85,105.1,laminated sandy limestone,fine laminations,2,2,1,-5.236793995,-18.08431435
C16_105.1_ICT_86,105.1,sand rimmed limestone,,2,1,2,-8.918486595,-17.1967411
C16_105.1_ICT_87,105.1,sand rimmed limestone,,4,2,2,-10.28150749,-17.9471283
C16_105.1_ICT_88,105.1,tan crystalline limestone,,2,2,0.5,-8.933074951,-17.07227135
C16_105.1_ICT_89,105.1,sandy limestone,,4,2,NaN,-8.044644356,-17.62173271
C16_105.1_ICT_90,105.1,tan crystalline limestone,,3,1.5,1,-8.950832367,-17.61545563
C16_105.1_ICT_91,105.1,sandy limestone,,8,3,3,-2.723371983,-18.00297165
C16_105.1_ICT_92,105.1,tan crystalline limestone,,4,3,4,-8.951974869,-18.89212418
C16_105.1_ICT_93,105.1,tan crystalline limestone,,3,2,4,-7.935055733,-18.70436096
C16_105.1_ICT_94,105.1,sandy grey crystalline limestone,,4,2,2,-6.961876869,-20.24790382
C16_105.1_ICT_95,105.1,grey crystalline limestone,,2,1,2,-6.657640457,-21.66458893
C16_105.1_ICT_96,105.1,grey crystalline limestone,,10,3,NaN,-4.477998257,-22.69465637
C16_105.1_ICT_97,105.1,grey crystalline limestone,,16,2,NaN,-6.385931015,-18.76086044
C16_105.1_ICT_98,105.1,tan crystalline limestone,,3,2,NaN,-8.680326462,-17.97055626
C16_105.1_ICT_99,105.1,tan crystalline limestone,,4,1,2,-6.837164879,-22.4291153
