,index,member,thickness,lithology,facies,grade,features,sample_name,sample_height,sample_facies,sample_features,facies_simplified,sample_facies_simplified,trace_facies_simplified,sample_lith,trace_facies,d13c_carb,d18o_carb,Li_umol_molCa,Na_mmol_molCa,Mg_mmol_molCa,Al_mmol_molCa,K_mmol_molCa,V_umol_molCa,Mn_mmol_molCa,Fe_mmol_molCa,Rb_umol_molCa,Sr_mmol_molCa,Th_umol_molCa,U_umol_molCa,sample_height_scaled
105,Wolverine,TLM,2.4,limestone,purple siltstone – grainstone ribbonite,,ribbonite,C13_123.9,123.9,sandy grainstone,,limestone-siltstone rhythmite,sandy limestone,sandy limestone,sandy ls,sandy grainstone,-9.608205795,-16.17721939,156.2486414,9.632854871,26.53368409,7.220536938,14.45591077,0.72456469,16.78716448,0.347642349,3.337054287,0.436501015,1.384555951,0.4945858,94.655
106,Wolverine,TLM,0.1,limestone,green siltstone[intraclast carbonate breccia],,,C13_124.0,124.0,grey crystalline limestone,,siltstone-intraclast carbonate breccia couplets,crystalline limestone,crystalline limestone,ls,grey crystalline limestone,-9.44181633,-13.28641415,35.30568355,1.671096121,11.44278297,0.818093587,0.268571555,0.080992337,12.332897,1.410353699,0.071275194,0.302208716,0.042916352,0.244004422,94.79999999999998
107,Wolverine,TLM,6.5,limestone,green siltstone – grainstone ribbonite,,ribbonite,C13_127.9,127.9,sandy pink crystalline limestone,,limestone-siltstone rhythmite,sandy limestone,sandy limestone,sandy ls,sandy pink crystalline limestone,-8.887661934,-14.1134243,24.23509673,3.683196549,12.85817715,0.617967766,-0.215382153,0.424743785,9.343590638,1.506403223,1.269108717,0.352786677,0.066985193,0.128089324,100.45500000000001
108,Wolverine,TLM,0.6,limestone,carbonate breccia,,ICT,C13_129.1,129.1,pink crystalline limestone,,carbonate breccia,crystalline limestone,crystalline limestone,ls,pink crystalline limestone,-7.892449379,-13.80066681,13.22179593,1.2623811,16.58798014,0.324485275,0.217557787,0.636541433,6.754810816,0.484851988,0.052649273,0.346956543,0.005910557,0.175679808,102.195
109,Wolverine,TLM,5.6,limestone,green siltstone – grainstone ribbonite,,ribbonite,C13_129.3,129.3,sandy pink crystalline limestone,,limestone-siltstone rhythmite,sandy limestone,sandy limestone,sandy ls,sandy pink crystalline limestone,-7.89498806,-14.14472675,17.19012087,1.383407027,19.80686052,0.452975805,0.371753836,0.904832916,7.645722504,0.990840854,0.080678331,0.345586424,0.034113962,0.31245894,102.48500000000001
110,Wolverine,TLM,0.2,limestone,carbonate breccia,,,C13_129.4,129.4,green and pink crystalline limestone,,carbonate breccia,crystalline limestone,crystalline limestone,ls,green and pink crystalline limestone,-8.703214645,-14.06513882,21.02462502,1.945765119,12.88549224,0.282635876,0.341583721,0.028539493,11.90308025,0.442011461,0.08143419,0.308873938,0.026915664,0.23083846,102.63
111,Wolverine,TLM,7.0,limestone,green siltstone – grainstone ribbonite,,ribbonite,C13_129.5,129.5,grey crystalline limestone,,limestone-siltstone rhythmite,crystalline limestone,crystalline limestone,ls,grey crystalline limestone,-9.139353752,-14.42966366,29.31862842,1.313148707,13.15588152,0.642428984,0.344642425,0.175956047,13.73637963,1.424065414,0.080153128,0.305896678,0.025657503,0.488714802,102.775
112,Wolverine,TLM,4.0,siliciclastic,mudstone,,,C13_129.7,129.7,grey crystalline limestone,,mudstone,crystalline limestone,crystalline limestone,ls,grey crystalline limestone,-8.825228691,-14.23236942,36.79585234,2.340743189,17.28037419,1.156902726,-0.490749962,0.222512057,11.60005261,1.877220519,1.062183881,0.39720232,0.029422519,0.432860431,103.06499999999997
113,Wolverine,TLM,,,,,,C13_130.7,130.7,grey crystalline limestone,,,crystalline limestone,,ls,,-9.251741409,-15.37821579,,,,,,,,,,,,,104.51499999999999
114,Wolverine,TLM,,,,,,C13_131.9,131.9,pink and grey crystalline limestone,,,crystalline limestone,,ls,,-8.946437836,-14.86901569,,,,,,,,,,,,,106.255
115,Wolverine,TLM,,,,,,C13_134.2,134.2,pink and grey laminated crystalline limestone,,,crystalline limestone,,ls,,-8.685874939,-14.61613941,,,,,,,,,,,,,109.58999999999997
116,Wolverine,TLM,,,,,,C13_134.4,134.4,pink and grey laminated crystalline limestone,,,crystalline limestone,,ls,,-8.570881844,-14.46089554,,,,,,,,,,,,,109.88
117,Wolverine,TLM,,,,,,C13_134.7,134.7,pink and grey laminated crystalline limestone,,,crystalline limestone,crystalline limestone,ls,pink and grey laminated crystalline limestone,-8.633471489,-14.74773026,25.7689418,2.119804547,17.83339764,0.410096381,0.243677323,0.362930688,11.89351122,1.917873253,1.334263619,0.486744552,0.011064971,0.225375879,110.31499999999997
118,Wolverine,TLM,,,,,,C13_136.1,136.1,pink laminated crystalline limestone,,,crystalline limestone,,ls,,-8.701389313,-14.95705223,,,,,,,,,,,,,112.345
119,Wolverine,TLM,,,,,,C13_136.4,136.4,pink laminated crystalline limestone,,,crystalline limestone,,ls,,-8.398835182,-14.17718983,,,,,,,,,,,,,112.78
120,Wolverine,TLM,,,,,,C13_136.5,136.5,pink and grey laminated crystalline limestone,,,crystalline limestone,,ls,,-8.430239677,-14.63808823,,,,,,,,,,,,,112.92499999999998
121,Wolverine,TLM,,,,,,C13_137.7,137.7,grey crystalline limestone,,,crystalline limestone,,ls,,-8.310832977,-14.19324112,,,,,,,,,,,,,114.66499999999996
122,Wolverine,TLM,,,,,,C13_138.6,138.6,grey crystalline limestone,,,crystalline limestone,crystalline limestone,ls,grey crystalline limestone,-8.786952972,-14.62822533,31.01632744,2.165200617,17.89838046,0.917625307,-0.255633819,0.212007675,24.72657251,5.156999715,1.13031593,0.485232918,0.055456141,1.257386719,115.97
123,Wolverine,TLM,,,,,,C13_141.9,141.9,grey crystalline limestone,,,crystalline limestone,,ls,,-8.401864052,-14.5970602,,,,,,,,,,,,,120.755
124,Wolverine,TLM,,,,,,C13_142.4,142.4,grey crystalline limestone,,,crystalline limestone,,ls,,-8.348160744,-14.57624626,,,,,,,,,,,,,121.47999999999999
125,Wolverine,TLM,,,,,,C13_142.5,142.5,grey crystalline limestone,,,crystalline limestone,,ls,,-8.324687958,-14.63748932,,,,,,,,,,,,,121.625
126,Wolverine,TLM,,,,,,C13_142.7,142.7,grey crystalline limestone,,,crystalline limestone,,ls,,-9.342161179,-15.36583328,,,,,,,,,,,,,121.91499999999996
127,Wolverine,TLM,,,,,,C13_144.6,144.6,grey crystalline ls mudstone,,,crystalline limestone,crystalline limestone,ls,grey crystalline ls mudstone,-8.023418427,-14.33851433,44.49281186,1.156468789,16.20071814,0.646986561,-0.036543586,0.211172779,8.397345252,3.20410931,0.933877787,0.376542904,0.011575474,0.721459183,124.66999999999999
128,Wolverine,TLM,,,,,,C13_145.2,145.2,grey crystalline limestone,,,crystalline limestone,,ls,,-8.316250801,-14.69435692,,,,,,,,,,,,,125.53999999999996
129,Wolverine,TLM,,,,,,C13_145.7,145.7,grey crystalline limestone,,,crystalline limestone,,ls,,-7.862681866,-14.23332405,,,,,,,,,,,,,126.26499999999999
130,Wolverine,TLM,,,,,,C13_145.9,145.9,grey crystalline limestone,,,crystalline limestone,,ls,,-8.122163773,-14.39114094,,,,,,,,,,,,,126.555
131,Wolverine,TLM,,,,,,C13_146.7,146.7,grey crystalline limestone,,,crystalline limestone,,ls,,-7.776453495,-14.10537529,,,,,,,,,,,,,127.71499999999997
132,Wolverine,TLM,,,,,,C13_147.2,147.2,grey crystalline limestone,,,crystalline limestone,crystalline limestone,ls,grey crystalline limestone,-7.817760468,-13.96443748,19.55064786,1.624217725,13.52479111,0.487723582,-0.168775971,0.260895181,5.518815562,2.801965755,0.86909481,0.33547538,0.017423562,0.256127229,128.43999999999997
133,Wolverine,TLM,,,,,,C13_147.6,147.6,grey crystalline limestone,,,crystalline limestone,,ls,,-7.962892532,-14.19289875,,,,,,,,,,,,,129.01999999999998
134,Wolverine,TLM,,,,,,C13_148.6,148.6,grey crystalline limestone,,,crystalline limestone,,ls,,-7.999038219,-14.2289772,,,,,,,,,,,,,130.47
135,Wolverine,TLM,,,,,,C13_151.4,151.4,grey crystalline limestone,,,crystalline limestone,,ls,,-8.362184525,-14.13702679,,,,,,,,,,,,,134.53
136,Wolverine,TLM,,,,,,C13_151.6,151.6,grey crystalline limestone,,,crystalline limestone,,ls,,-8.540672302,-14.44024849,,,,,,,,,,,,,134.82
137,Wolverine,TLM,,,,,,C13_151.8,151.8,grey crystalline limestone,,,crystalline limestone,crystalline limestone,ls,grey crystalline limestone,-8.566747665,-14.09566212,48.97379149,1.686121425,16.2682979,0.94364454,-0.048492125,0.196614734,6.923378575,5.605140611,1.31615323,0.383730804,0.030136599,1.987132614,135.11
138,Wolverine,TLM,,,,,,C13_152.0,152.0,grey crystalline limestone,,,crystalline limestone,,ls,,-8.685141563,-14.1651907,,,,,,,,,,,,,135.4
139,Wolverine,TLM,,,,,,C13_152.6,152.6,grey crystalline limestone,,,crystalline limestone,,ls,,-8.587304115,-13.90558243,,,,,,,,,,,,,136.26999999999998
140,Wolverine,TLM,,,,,,C13_152.9,152.9,grey crystalline limestone,,,crystalline limestone,,ls,,-8.909692764,-14.08459568,,,,,,,,,,,,,136.705
141,Wolverine,TLM,,,,,,C13_153.2,153.2,grey crystalline limestone,,,crystalline limestone,,ls,,-8.714830399,-13.7983408,,,,,,,,,,,,,137.14
142,Wolverine,TLM,,,,,,C13_153.6,153.6,grey crystalline limestone,,,crystalline limestone,crystalline limestone,ls,grey crystalline limestone,-8.116005898,-14.31684113,57.70918641,1.786792939,19.84652623,0.935058655,0.70310914,0.374652045,5.81913054,5.04477888,1.878873685,0.430021286,0.021668691,1.222137171,137.72
143,Wolverine,TLM,,,,,,C13_153.9,153.9,grey crystalline limestone,,,crystalline limestone,,ls,,-8.694885254,-13.84189224,,,,,,,,,,,,,138.155
144,Wolverine,TLM,,,,,,C13_154.2,154.2,grey crystalline limestone,,,crystalline limestone,,ls,,-8.307235718,-14.65975285,,,,,,,,,,,,,138.58999999999997
145,Wolverine,TLM,,,,,,C13_154.5,154.5,grey crystalline limestone,,,crystalline limestone,,ls,,-8.451450348,-14.36815834,,,,,,,,,,,,,139.025
146,Wolverine,TLM,,,,,,C13_154.8,154.8,grey crystalline limestone,,,crystalline limestone,,ls,,-8.031443596,-13.89436531,,,,,,,,,,,,,139.46
147,Wolverine,TLM,,,,,,C13_155.8,155.8,grey crystalline limestone,,,crystalline limestone,crystalline limestone,ls,grey crystalline limestone,-8.459716797,-14.01925182,28.51066063,0.856989024,18.33488009,0.324805859,0.342131203,0.109395328,7.822616417,4.927546079,0.964956366,0.420182724,0.006135562,3.366190319,140.91
148,Wolverine,TLM,,,,,,C13_156.0,156.0,grey crystalline limestone,,,crystalline limestone,,ls,,-8.44934082,-14.11309624,,,,,,,,,,,,,141.2
149,Wolverine,TLM,,,,,,C13_156.2,156.2,grey crystalline limestone,,,crystalline limestone,,ls,,-8.296068192,-14.166008,,,,,,,,,,,,,141.48999999999998
150,Wolverine,TLM,,,,,,C13_156.4,156.4,grey crystalline limestone,,,crystalline limestone,,ls,,-8.007547379,-13.5799942,,,,,,,,,,,,,141.78
151,GSM Type 1,TLM,16.9,siliciclastic,red grainstone[siltstone] rhythmite,,breccia lenses,C1_138.5,138.5,dolostone,,limestone-siltstone rhythmite,dolostone,dolostone,dol,dolostone,-11.13208008,-14.97642803,80.26491355,18.59357833,696.6716174,1.52009723,12.84834302,0.673146685,33.8485358,80.71242935,3.399844793,0.87873449,0.117421269,0.178230205,36.299999999999955
152,GSM Type 1,TLM,10.4,limestone,green grainstone[siltstone] rhythmite,,pyrite,C1_141.5,141.5,dolostone,,limestone-siltstone rhythmite,dolostone,dolostone,dol,dolostone,-10.82213211,-14.51097012,24.85517825,16.63243841,696.7977686,1.434306142,5.501481703,0.714541227,31.87843315,161.0768763,1.468020603,0.842175234,0.133346845,0.246009756,47.69999999999993
153,GSM Type 1,TLM,1.5,limestone,grainstone[micrite],,,C1_142.3,142.3,dolostone,,crystalline limestone,dolostone,dolostone,dol,dolostone,-10.79892349,-14.85731697,49.05622212,24.78479689,699.2967065,1.565565859,9.862716865,0.540041037,32.13696418,77.65106337,2.631018441,0.852323885,0.150735006,0.392867603,50.74000000000001
154,GSM Type 1,TLM,3.7,siliciclastic,black shale[authigenic carbonate nodules],,authigenic nodules,C1_142.8,142.8,dolostone,,shale,dolostone,dolostone,dol,dolostone,-10.95125675,-14.6684618,30.62320392,18.31528759,692.7731209,1.488263177,6.790428542,0.076142965,31.93918979,166.870286,1.85660891,0.848947036,0.088889011,0.169167525,52.639999999999986
155,GSM Type 1,TLM,2.8,limestone,carbonate breccia,,,C1_143.6,143.6,dolostone,,carbonate breccia,dolostone,dolostone,dol,dolostone,-11.20570087,-14.8111763,41.33126443,8.443377808,545.5145107,0.506428498,8.555431429,0.161026015,25.61582767,108.5847984,2.259736255,0.807199757,0.04365146,0.150670792,55.67999999999995
156,GSM Type 1,TLM,8.35,siliciclastic,siltstone[red grainstone],,,C1_144.2,144.2,dolostone,,limestone-siltstone rhythmite,dolostone,dolostone,dol,dolostone,-11.04202271,-15.07362175,23.08269507,11.27274519,423.8333885,0.268084387,2.715576471,0.267820381,21.79345204,47.37529602,0.735109514,0.821883725,0.058658372,0.741949905,57.95999999999992
157,GSM Type 1,TLM,,,,,,C1_147.9,147.9,dolostone,,,dolostone,dolostone,dol,dolostone,-10.86657715,-14.93898678,28.34249042,5.223576772,342.2293533,0.476651799,3.965440522,0.14607583,15.33893833,61.09082777,1.019381385,0.846897951,0.201867185,0.248349726,72.01999999999998
158,GSM Type 1,TLM,,,,,,C1_148.5,148.5,sandy grainstone,,,sandy limestone,sandy limestone,sandy ls,sandy grainstone,-10.82417488,-15.64120865,21.99603367,6.184654925,147.1844376,2.026436714,9.319573068,0.426356353,9.199408615,38.59941208,2.259130385,0.754762235,0.535749561,0.202477161,74.29999999999995
159,GSM Type 1,TLM,,,,,,C1_149.0,149.0,sandy grainstone,,,sandy limestone,sandy limestone,sandy ls,sandy grainstone,-10.94159889,-15.43615055,41.70566656,13.77355811,188.1691061,3.519187519,16.22381073,0.149417606,9.993072347,40.86710782,3.616755466,0.778511469,1.123057911,0.267799448,76.19999999999993
160,GSM Type 1,TLM,,,,,,C1_150.0,150.0,sandy grainstone,,,sandy limestone,sandy limestone,sandy ls,sandy grainstone,-10.9717865,-15.2862587,37.08758205,6.098329087,291.9891358,4.031450547,15.72573159,0.375098923,11.77334727,67.61571643,3.82594176,0.758634491,0.611014169,0.23688086,80.0
161,GSM Type 1,TLM,,,,,,C1_151.0,151.0,sandy pink crystalline limestone,,,sandy limestone,sandy limestone,sandy ls,sandy pink crystalline limestone,-10.06974697,-15.83237648,4.780538558,2.912611337,12.77548502,0.28825445,0.643509506,0.037678854,4.756667613,3.655736533,0.182821803,0.578274809,0.035101446,0.213017732,83.79999999999995
162,GSM Type 1,TLM,,,,,,C1_152.5,152.5,sandy pink crystalline limestone,,,sandy limestone,sandy limestone,sandy ls,sandy pink crystalline limestone,-10.24826622,-15.69876194,3.207540444,12.81169738,14.719949,0.518481151,0.747201222,0.15260471,4.49206193,6.357788415,0.179762019,0.712989727,0.086511769,0.129295543,89.5
163,GSM Type 1,TLM,,,,,,C1_153.4,153.4,dolostone,,,dolostone,dolostone,dol,dolostone,-11.23564911,-14.73853111,18.20107723,3.575622905,517.3619611,0.563134974,4.901318653,0.103892389,15.31206694,107.745059,1.197764162,0.798481704,0.083244059,0.107786728,92.91999999999996
164,GSM Type 1,TLM,,,,,,C1_155.0,155.0,sandy pink crystalline limestone,,,sandy limestone,sandy limestone,sandy ls,sandy pink crystalline limestone,-9.781411171,-15.93054485,3.788807828,2.700529381,16.54870602,0.235214865,0.697328086,0.055948848,4.240763333,5.254775401,0.181352705,0.549540457,0.049691789,0.086075721,99.0
165,GSM Type 1,TLM,,,,,,C1_155.4,155.4,sandy pink crystalline limestone,,,sandy limestone,sandy limestone,sandy ls,sandy pink crystalline limestone,-10.06463814,-15.76416588,25.10157275,3.71130905,59.03254801,1.584487895,6.131209609,0.118116107,4.393089873,16.78441996,1.465766419,0.662886743,0.215487465,0.115384693,100.51999999999998
166,GSM Type 1,TLM,,,,,,C1_156.0,156.0,pink crystalline limestone,,,crystalline limestone,crystalline limestone,ls,pink crystalline limestone,-9.303689957,-15.76877022,6.693678769,3.045015531,14.59705414,0.145287325,0.883663126,0.07571971,3.476444309,0.665278996,0.232137367,0.511675013,0.003102971,0.111888316,102.79999999999995
167,GSM Type 1,TLM,,,,,,C1_157.0,157.0,sandy pink crystalline limestone,,,sandy limestone,sandy limestone,sandy ls,sandy pink crystalline limestone,-9.024132729,-15.80631161,5.381026135,1.671695242,12.00178946,0.357052824,1.258216691,0.0877938,3.258697782,3.556410106,0.321886075,0.456187722,0.04133668,0.20145901,106.60000000000002
168,GSM Type 1,TLM,,,,,,C1_157.5,157.5,sandy green crystalline limestone,,,sandy limestone,sandy limestone,sandy ls,sandy green crystalline limestone,-9.033914566,-15.78957272,25.81957895,1.356157668,10.93050833,0.113578671,1.256023354,0.033427237,3.511293921,2.557174083,0.298345827,0.496957813,0.008289956,0.414888996,108.5
169,GSM Type 1,TLM,,,,,,C1_158.0,158.0,green crystalline limestone,,,crystalline limestone,crystalline limestone,ls,green crystalline limestone,-8.835751534,-15.81721783,8.086788752,1.238244383,11.38950203,0.091140008,0.551792022,0.013610163,2.585731526,1.069423192,0.134709694,0.548662398,0.022840722,0.266797847,110.39999999999998
170,GSM Type 1,TLM,,,,,,C1_158.5,158.5,green crystalline limestone,,,crystalline limestone,crystalline limestone,ls,green crystalline limestone,-8.74762249,-15.74120235,13.84006328,1.165022709,12.55828032,0.13356972,0.480465835,0.037883626,2.389145151,2.058555128,0.11928283,0.525354081,0.017425418,0.169256783,112.29999999999995
171,GSM Type 1,TLM,,,,,,C1_159.0,159.0,green and pink crystalline limestone,,,crystalline limestone,crystalline limestone,ls,green and pink crystalline limestone,-8.526940346,-15.84171867,15.14497194,1.227792663,10.79978413,0.510702208,0.730234809,0.086011582,2.220800576,4.016370146,0.168414362,0.362244465,0.045467974,0.145143648,114.19999999999993
172,GSM Type 1,TLM,,,,,,C1_159.5,159.5,green and pink crystalline limestone,,,crystalline limestone,crystalline limestone,ls,green and pink crystalline limestone,-8.715175629,-15.69595814,4.56395519,0.927532898,9.53008216,0.22385704,0.874986528,0.075213415,2.064351121,3.127729308,0.189909212,0.45066218,0.02994259,0.193295084,116.10000000000002
173,GSM Type 1,TLM,,,,,,C1_160.0,160.0,green and pink crystalline limestone,,,crystalline limestone,crystalline limestone,ls,green and pink crystalline limestone,-8.466317177,-15.75385571,15.57556079,1.340885132,13.20394726,0.3506937,0.972554411,0.010650658,1.899412344,3.414019327,0.24164516,0.35934604,0.025633723,0.167785797,118.0
174,GSM Type 1,TLM,,,,,,C1_160.5,160.5,green and pink crystalline limestone,,,crystalline limestone,crystalline limestone,ls,green and pink crystalline limestone,-8.282411575,-15.74932671,8.510629855,0.758247867,12.01830437,0.168191972,0.570289902,0.070081466,1.688069346,3.423838538,0.119259408,0.333696994,0.016823357,0.41423286,119.89999999999998
175,GSM Type 1,TLM,,,,,,C1_161.0,161.0,green and pink crystalline limestone,,,crystalline limestone,crystalline limestone,ls,green and pink crystalline limestone,-8.137392998,-15.64827347,13.54645644,1.313733953,18.46454672,0.137657479,1.232828277,0.083191212,1.900492207,6.440924507,0.281043528,0.335272706,0.008572447,0.46726816,121.79999999999995
176,GSM Type 1,TLM,,,,,,C1_161.5,161.5,green and pink crystalline limestone,sulfides,,crystalline limestone,crystalline limestone,ls,green and pink crystalline limestone,-8.004037857,-15.59307384,4.273499526,0.755955414,12.30889152,0.190625333,0.657131642,0.090417522,1.761123161,6.080976231,0.147129352,0.336659176,0.036649012,0.603589022,123.69999999999993
177,GSM Type 1,TLM,,,,,,C1_162.0,162.0,green and pink crystalline limestone,,,crystalline limestone,crystalline limestone,ls,green and pink crystalline limestone,-7.997822762,-15.62264633,6.243932068,0.970227562,14.73403813,0.129497142,0.71937435,0.050687772,1.785086505,5.185822238,0.159068455,0.322733157,0.015629427,0.222390963,125.60000000000002
178,GSM Type 1,TLM,,,,,,C1_162.5,162.5,green and pink crystalline limestone,,,crystalline limestone,crystalline limestone,ls,green and pink crystalline limestone,-7.98462677,-15.72000313,11.99096257,1.086129749,18.12314914,0.32120446,1.094125846,0.076829041,1.826700064,7.832976629,0.240091001,0.308408545,0.037439031,0.238503976,127.5
179,GSM Type 1,TLM,,,,,,C1_163.0,163.0,green and pink crystalline limestone,,,crystalline limestone,crystalline limestone,ls,green and pink crystalline limestone,-7.984471321,-15.6264801,6.30770816,1.09778352,13.71755104,0.35380105,1.020594,0.06995554,1.71747082,4.553759528,0.227765745,0.341852152,0.052992132,0.729596443,129.39999999999998
180,GSM Type 1,TLM,,,,,,C1_163.5,163.5,green and pink crystalline limestone,,,crystalline limestone,crystalline limestone,ls,green and pink crystalline limestone,-8.045088768,-15.57610321,26.64194825,1.19931639,44.72127335,0.828541018,2.496047228,0.025681068,2.402981625,13.19856951,0.507798707,0.298670903,0.065504118,0.443278012,131.29999999999995
181,GSM Type 1,TLM,,,,,,C1_164.0,164.0,green and pink crystalline limestone,,,crystalline limestone,crystalline limestone,ls,green and pink crystalline limestone,-7.826013088,-15.86332893,18.69641375,0.568163079,10.09929004,0.317910096,0.95554381,0.058814646,2.081797234,2.818742976,0.197159567,0.311267074,0.018357782,0.26756061,133.19999999999993
182,GSM Type 1,TLM,,,,,,C1_164.5,164.5,green and pink crystalline limestone,,,crystalline limestone,crystalline limestone,ls,green and pink crystalline limestone,-8.658717155,-14.52880859,119.8125427,6.951802021,379.1552451,3.632842291,14.9768953,0.038165357,6.411792447,97.47575038,3.20781065,0.436837054,0.180194247,0.522044182,135.10000000000002
183,GSM Type 1,TLM,,,,,,C1_165.0,165.0,grey crystalline limestone,,,crystalline limestone,crystalline limestone,ls,grey crystalline limestone,-7.599073887,-15.80164146,16.90569201,0.605383472,13.93689676,0.549655656,1.090077546,0.542047434,2.157821831,2.876158908,0.241189126,0.36667063,0.063025534,4.479580728,137.0
184,GSM Type 1,TLM,,,,,,C1_165.5,165.5,grey crystalline limestone,,,crystalline limestone,crystalline limestone,ls,grey crystalline limestone,-7.899730682,-15.97568226,25.58792001,0.390723315,16.56877234,0.175102138,0.758361561,0.05070414,4.09067023,3.095235035,0.164238123,0.52251938,0.005175842,4.116132117,138.89999999999998
185,GSM Type 1,TLM,,,,,,C1_166.0,166.0,sandy grey crystalline limestone,,,sandy limestone,sandy limestone,sandy ls,sandy grey crystalline limestone,-9.395406723,-14.45478535,783.200841,39.51582609,706.7264345,29.36098306,82.10448945,0.236650955,23.67955414,145.8233017,17.19776142,0.806101402,0.751856853,2.245764061,140.79999999999995
186,GSM Type 2,TLM,12.4,siliciclastic,rippled siltstone[red grainstone],,ripples,C1_195.2,195.2,grey crystalline limestone,,limestone-siltstone rhythmite,crystalline limestone,,ls,,-7.466440201,-15.7895174,,,,,,,,,,,,,132.84000000000015
187,GSM Type 2,TLM,4.0,siliciclastic,siltstone[red grainstone],,,C1_196.0,196.0,grey crystalline limestone,,limestone-siltstone rhythmite,crystalline limestone,,ls,,-7.986110687,-15.98182583,,,,,,,,,,,,,128.20000000000005
188,GSM Type 2,TLM,4.9,siliciclastic,siltstone[red grainstone],FUS,,C1_197.0,197.0,grey crystalline limestone,sulfides,limestone-siltstone rhythmite,crystalline limestone,,ls,,-8.028917313,-15.95193386,,,,,,,,,,,,,122.40000000000009
189,GSM Type 2,TLM,2.2,siliciclastic,black shale[authigenic carbonate nodules],,authigenic nodules,C1_198.0,198.0,grey crystalline limestone,,shale,crystalline limestone,,ls,,-8.231097221,-15.90057278,,,,,,,,,,,,,116.60000000000014
190,GSM Type 2,TLM,2.4,limestone,carbonate breccia,,,C1_199.0,199.0,sandy grey crystalline limestone,,carbonate breccia,sandy limestone,,sandy ls,,-9.147789001,-15.80902958,,,,,,,,,,,,,110.79999999999995
191,GSM Type 2,TLM,8.35,siliciclastic,siltstone[red grainstone],,,C1_200.0,200.0,sandy pink crystalline limestone,,limestone-siltstone rhythmite,sandy limestone,,sandy ls,,-9.405069351,-15.94213581,,,,,,,,,,,,,105.0
192,GSM Type 2,TLM,,,,,,C1_201.0,201.0,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-9.782505035,-15.9234333,,,,,,,,,,,,,99.20000000000005
193,GSM Type 2,TLM,,,,,,C1_202.0,202.0,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-10.16243553,-16.02237892,,,,,,,,,,,,,93.40000000000009
194,GSM Type 2,TLM,,,,,,C1_203.0,203.0,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-10.30667877,-16.05678558,,,,,,,,,,,,,87.60000000000014
195,GSM Type 2,TLM,,,,,,C1_204.5,204.5,dolostone,,,dolostone,,dol,,-11.01429558,-15.52980137,,,,,,,,,,,,,78.90000000000009
196,GSM Type 2,TLM,,,,,,C1_207.0,207.0,sandy grainstone,,,sandy limestone,,sandy ls,,-11.15846443,-15.08835316,,,,,,,,,,,,,64.40000000000009
197,GSM Type 2,TLM,,,,,,C1_208.0,208.0,sandy grainstone,,,sandy limestone,,sandy ls,,-11.20238018,-14.45842552,,,,,,,,,,,,,58.600000000000136
198,GSM Type 2,TLM,,,,,,C1_209.0,209.0,sandy grainstone,,,sandy limestone,,sandy ls,,-11.09310722,-14.80795479,,,,,,,,,,,,,52.799999999999955
199,GSM Type 3,TLM,1.0,siliciclastic,siltstone[red grainstone],,,C1_0.0,0.0,grey crystalline limestone,,limestone-siltstone rhythmite,crystalline limestone,,ls,,-7.722773075,-15.32187748,,,,,,,,,,,,,130.0
200,GSM Type 3,TLM,1.8,limestone,green grainstone[siltstone] rhythmite,,,C1_1.0,1.0,grey crystalline limestone,sulfides,limestone-siltstone rhythmite,crystalline limestone,,ls,,-8.103945732,-15.63088036,,,,,,,,,,,,,123.2
201,GSM Type 3,TLM,3.6,limestone,red grainstone[siltstone] rhythmite,,,C1_2.0,2.0,pink crystalline limestone,,limestone-siltstone rhythmite,crystalline limestone,,ls,,-8.2486763,-15.4484272,,,,,,,,,,,,,116.4
202,GSM Type 3,TLM,4.6,siliciclastic,siltstone[red grainstone],CUS,,C1_2.8,2.8,pink crystalline limestone,,limestone-siltstone rhythmite,crystalline limestone,,ls,,-8.623922348,-15.52051735,,,,,,,,,,,,,110.96000000000001
203,GSM Type 3,TLM,5.8,siliciclastic,sandstone[red grainstone; interclast carbonate breccia lenses],,breccia lenses,C1_3.0,3.0,pink crystalline limestone,,siltstone-intraclast carbonate breccia couplets,crystalline limestone,,ls,,-8.719141006,-15.54624557,,,,,,,,,,,,,109.6
204,GSM Type 3,TLM,30.5,siliciclastic,siltstone,CUS,,C1_4.0,4.0,sandy pink crystalline limestone,,siltstone,sandy limestone,,sandy ls,,-9.410453796,-15.7317028,,,,,,,,,,,,,102.8
205,GSM Type 3,TLM,4.0,cover,cover,,,C1_5.0,5.0,sandy pink crystalline limestone,,cover,sandy limestone,,sandy ls,,-10.02730846,-15.68320656,,,,,,,,,,,,,96.0
206,GSM Type 3,TLM,0.7,siliciclastic,siltstone, ,,C1_6.0,6.0,sandy pink crystalline limestone,,siltstone,sandy limestone,,sandy ls,,-10.59165764,-15.69672585,,,,,,,,,,,,,89.2
207,GSM Type 3,TLM,3.2,cover,cover,,,C1_7.0,7.0,sandy pink crystalline limestone,,cover,sandy limestone,,sandy ls,,-10.73510265,-15.68147373,,,,,,,,,,,,,82.4
