,index,member,thickness,lithology,facies,grade,features,sample_name,sample_height,sample_facies,sample_features,facies_simplified,sample_facies_simplified,trace_facies_simplified,sample_lith,trace_facies,d13c_carb,d18o_carb,Li_umol_molCa,Na_mmol_molCa,Mg_mmol_molCa,Al_mmol_molCa,K_mmol_molCa,V_umol_molCa,Mn_mmol_molCa,Fe_mmol_molCa,Rb_umol_molCa,Sr_mmol_molCa,Th_umol_molCa,U_umol_molCa,sample_height_scaled
26,Temple Lake,TLM,7.3,limestone,red limestone siltstone rhythmite,,,C8_71.1,71.1,sandy green and pink crystalline limestone,,limestone-siltstone rhythmite,sandy limestone,sandy limestone,sandy ls,sandy green and pink crystalline limestone,-10.76332569,-16.47158241,6.334516086,4.044612202,12.59889077,0.377531658,0.582177857,0.099795883,10.52198265,1.132187715,0.151486836,0.597226755,0.01357278,0.340269282,77.89999999999999
27,Temple Lake,TLM,6.6,limestone,red limestone siltstone rhythmite,,,C8_71.5,71.5,sandy green and pink crystalline limestone,,limestone-siltstone rhythmite,sandy limestone,,sandy ls,,-10.81086445,-15.81959057,,,,,,,,,,,,,78.3
28,Temple Lake,TLM,6.4,limestone,green limestone siltstone rhythmite,,,C8_73.1,73.1,sandy pink crystalline limestone,,limestone-siltstone rhythmite,sandy limestone,sandy limestone,sandy ls,sandy pink crystalline limestone,-10.17246628,-15.61396313,8.84374218,2.644248903,14.79515576,0.309997535,0.563779511,0.28066294,8.016347069,1.049825292,0.131483714,0.543666648,0.006626436,0.305472312,79.89999999999999
29,Temple Lake,TLM,5.0,siliciclastic,mudstone,,,C8_73.2,73.2,sandy pink crystalline limestone,,mudstone,sandy limestone,,sandy ls,,-10.06655407,-15.58061981,,,,,,,,,,,,,80.0
30,Temple Lake,TLM,,,,,,C8_73.4,73.4,sandy pink crystalline limestone,,,sandy limestone,sandy limestone,sandy ls,sandy pink crystalline limestone,-10.18840408,-15.79570103,5.291014037,1.619858408,18.23190333,0.114144459,0.24673382,0.031341984,9.370327231,0.948290838,0.049778887,0.549485907,0.012230645,0.277900275,80.2
31,Temple Lake,TLM,,,,,,C8_73.5,73.5,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-10.07433891,-15.58775997,,,,,,,,,,,,,80.3
32,Temple Lake,TLM,,,,,,C8_77.3,77.3,pink crystalline limestone,,,crystalline limestone,crystalline limestone,ls,pink crystalline limestone,-9.788320541,-18.02100754,3.494631309,1.47246986,12.81667286,0.116427705,0.304311762,0.102776404,11.00248069,1.141579097,0.064901414,0.510630528,0.014794565,0.828144498,84.1
33,Temple Lake,TLM,,,,,,C8_77.6,77.6,sandy pink crystalline limestone,,,sandy limestone,sandy limestone,sandy ls,sandy pink crystalline limestone,-9.697758675,-17.16054535,6.457719204,2.441976508,11.86444955,0.183642579,0.336130662,0.007737139,10.50640284,1.218877641,0.948657068,0.463722751,0.003670855,0.540362654,84.39999999999999
34,Temple Lake,TLM,,,,,,C8_78.2,78.2,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-9.897939682,-15.60389137,,,,,,,,,,,,,85.0
35,Temple Lake,TLM,,,,,,C8_78.5,78.5,pink crystalline limestone,,,crystalline limestone,crystalline limestone,ls,pink crystalline limestone,-9.745679855,-15.49373913,5.872620742,1.908914028,15.69309031,0.079818331,0.461823987,-0.001817743,11.94760237,0.193630033,0.097998931,0.519405109,0.003430114,0.849310393,85.3
36,Temple Lake,TLM,,,,,,C8_81.5,81.5,sandy grainstone,,,sandy limestone,,sandy ls,,-8.286569595,-14.96806049,,,,,,,,,,,,,88.3
37,Temple Lake,TLM,,,,,,C8_82.6,82.6,ls mudstone,,,ls mudstone,ls mudstone,ls,ls mudstone,-5.516160488,-13.57635498,393.865542,10.29087203,351.7257206,12.31641818,49.53206279,3.433127024,17.24318109,0.371456204,10.5301162,0.741617916,4.134435557,1.23882662,89.39999999999999
38,Temple Lake,TLM,,,,,,C8_83.1,83.1,sandy grainstone,,,sandy limestone,,sandy ls,,-9.518854141,-15.68873596,,,,,,,,,,,,,89.89999999999999
39,Temple Lake,TLM,,,,,,C8_84.1,84.1,sandy grainstone,,,sandy limestone,sandy limestone,sandy ls,sandy grainstone,-9.503284454,-15.28216076,99.26273061,9.337962916,52.71614619,4.949678682,12.75817599,0.246999278,25.67529341,8.329519357,2.731153275,0.9273116,0.839316307,0.234761089,90.89999999999999
40,Temple Lake,TLM,,,,,,C8_85.6,85.6,sandy grainstone,,,sandy limestone,,sandy ls,,-9.225013733,-15.6841898,,,,,,,,,,,,,92.39999999999999
41,Temple Lake,TLM,,,,,,C8_86.2,86.2,sandy grainstone,,,sandy limestone,sandy limestone,sandy ls,sandy grainstone,-9.424882889,-15.50467873,356.4631982,17.26039579,43.37291226,17.3967335,90.65153562,2.300378295,26.17060219,2.238988364,110.8758756,0.929966823,3.918345543,0.730756636,93.0
