thickness,lithology,facies,grade,features,sample_name,sample_height,sample_facies,sample_features,d13c_carb,d18o_carb
,,,,,C8_112.5,112.5,sandy grainstone,,-8.601378441,-15.33778858
,,,,,C8_112.7,112.7,sandy pink crystalline limestone,,-8.575074196,-15.47172832
,,,,,C8_114.9,114.9,sandy pink crystalline limestone,,-8.392810822,-15.61178398
,,,,,C8_115.1_white,115.1,sandy tan crystalline limestone,,-8.483319283,-15.27438736
,,,,,C8_115.1_purple,115.1,sandy pink crystalline limestone,,-8.460116386,-15.12555599
,,,,,C8_115.5,115.5,sandy pink crystalline limestone,,-8.459472656,-15.25253201
,,,,,C8_116.1,116.1,sandy pink crystalline limestone,,-8.401789665,-15.35275841
,,,,,C8_116.4,116.4,sandy pink crystalline limestone,,-8.490049362,-15.23894405
,,,,,C8_117.5,117.5,sandy pink crystalline limestone,,-8.510773659,-15.18965721
,,,,,C8_117.8,117.8,sandy grainstone,,-8.287774086,-15.2156601
,,,,,C8_118.4,118.4,sandy tan crystalline limestone,,-8.378112793,-15.11946678
,,,,,C8_119.8,119.8,sandy tan crystalline limestone,,-8.261930466,-15.12695885
,,,,,C8_120.7,120.7,sandy pink crystalline limestone,,-8.336723328,-14.4634552
,,,,,C8_122.2,122.2,sandy pink crystalline limestone,,-8.207653046,-14.80610752
,,,,,C8_123.2,123.2,sandy pink crystalline limestone,,-8.123065948,-14.89665222
,,,,,C8_124.1,124.1,sandy pink crystalline limestone,,-7.993663788,-15.12212563
,,,,,C8_125.1,125.1,green crystalline limestone,,-8.152258873,-15.01178265
,,,,,C8_126.1,126.1,green crystalline limestone,,-8.065942764,-15.19406128
,,,,,C8_127.1,127.1,green crystalline limestone,,-7.882169724,-14.8342371
,,,,,C8_128.1,128.1,green crystalline limestone,,-7.822883606,-14.91936302
,,,,,C8_129.1,129.1,green crystalline limestone,,-8.015338898,-15.13580608
,,,,,C8_130.1,130.1,green crystalline limestone,,-9.081008911,-15.19088364
