thickness,lithology,facies,grade,features,sample_name,sample_height,sample_facies,sample_features,d13c_carb,d18o_carb
0.7,siliciclastic,sandstone,,,,,,,,
1,siliciclastic,siltstone[sandstone],,,,,,,,
0.9,siliciclastic,sandstone,massive,,,,,,,
1,siliciclastic,siltstone[sandstone],,,,,,,,
1,siliciclastic,siltstone[sandstone],,,,,,,,
5,limestone,carbonate clast breccia,,ICT,,,,,,
0.7,siliciclastic,sandstone,,,,,,,,
1.3,limestone,carbonate clast breccia,,ICT,,,,,,
4,limestone,carbonate clast breccia,,ICT,,,,,,
1,siliciclastic,green siltstone,,,,,,,,
7,limestone,carbonate clast breccia,,ICT,,,,,,
2.2,siliciclastic,green siltstone,,,,,,,,
2.5,siliciclastic,purple siltstone,,,,,,,,
2.6,siliciclastic,green siltstone,,,,,,,,
13.7,siliciclastic,purple siltstone,,,,,,,,
6.1,siliciclastic,green siltstone,,,,,,,,
8.6,siliciclastic,purple siltstone,,,,,,,,
1.5,siliciclastic,green siltstone,,,,,,,,
3.9,siliciclastic,purple siltstone,,,,,,,,
1.5,limestone,carbonate clast breccia,,ICT,,,,,,
2.4,limestone,carbonate clast breccia,,ICT,,,,,,
1.6,limestone,carbonate clast breccia,,ICT,,,,,,
1,siliciclastic,sandstone,,,,,,,,
6.1,siliciclastic,green siltstone,,,,,,,,
6,siliciclastic,purple siltstone,,,,,,,,
92.7,siliciclastic,green siltstone,,,,,,,,
