run_no,sample_simple,sample_name,member,type,loc,facies,features,thin_section,d13c_carb,d18o_carb,Li_umol_molCa,Na_mmol_molCa,Mg_mmol_molCa,Al_mmol_molCa,K_mmol_molCa,V_umol_molCa,Mn_mmol_molCa,Fe_mmol_molCa,Rb_umol_molCa,Sr_mmol_molCa,Th_umol_molCa,U_umol_molCa
2,CV134,C1_161.0,TLM,section,gsm_type_sec,green and pink crystalline limestone,,,-8.137392998,-15.64827347,13.54645644,1.313733953,18.46454672,0.137657479,1.232828277,0.083191212,1.900492207,6.440924507,0.281043528,0.335272706,0.008572447,0.46726816
2,CV135,C1_161.5,TLM,section,gsm_type_sec,green and pink crystalline limestone,sulfides,,-8.004037857,-15.59307384,4.273499526,0.755955414,12.30889152,0.190625333,0.657131642,0.090417522,1.761123161,6.080976231,0.147129352,0.336659176,0.036649012,0.603589022
2,CV136,C1_162.0,TLM,section,gsm_type_sec,green and pink crystalline limestone,,,-7.997822762,-15.62264633,6.243932068,0.970227562,14.73403813,0.129497142,0.71937435,0.050687772,1.785086505,5.185822238,0.159068455,0.322733157,0.015629427,0.222390963
2,CV137,C1_162.5,TLM,section,gsm_type_sec,green and pink crystalline limestone,,,-7.98462677,-15.72000313,11.99096257,1.086129749,18.12314914,0.32120446,1.094125846,0.076829041,1.826700064,7.832976629,0.240091001,0.308408545,0.037439031,0.238503976
2,CV138,C1_163.0,TLM,section,gsm_type_sec,green and pink crystalline limestone,,,-7.984471321,-15.6264801,6.30770816,1.09778352,13.71755104,0.35380105,1.020594,0.06995554,1.71747082,4.553759528,0.227765745,0.341852152,0.052992132,0.729596443
2,CV139,C1_163.5,TLM,section,gsm_type_sec,green and pink crystalline limestone,,,-8.045088768,-15.57610321,26.64194825,1.19931639,44.72127335,0.828541018,2.496047228,0.025681068,2.402981625,13.19856951,0.507798707,0.298670903,0.065504118,0.443278012
2,CV140,C1_164.0,TLM,section,gsm_type_sec,green and pink crystalline limestone,,,-7.826013088,-15.86332893,18.69641375,0.568163079,10.09929004,0.317910096,0.95554381,0.058814646,2.081797234,2.818742976,0.197159567,0.311267074,0.018357782,0.26756061
2,CV141,C1_164.5,TLM,section,gsm_type_sec,green and pink crystalline limestone,,,-8.658717155,-14.52880859,119.8125427,6.951802021,379.1552451,3.632842291,14.9768953,0.038165357,6.411792447,97.47575038,3.20781065,0.436837054,0.180194247,0.522044182
2,CV142,C1_165.0,TLM,section,gsm_type_sec,grey crystalline limestone,,,-7.599073887,-15.80164146,16.90569201,0.605383472,13.93689676,0.549655656,1.090077546,0.542047434,2.157821831,2.876158908,0.241189126,0.36667063,0.063025534,4.479580728
2,CV143,C1_165.5,TLM,section,gsm_type_sec,grey crystalline limestone,,,-7.899730682,-15.97568226,25.58792001,0.390723315,16.56877234,0.175102138,0.758361561,0.05070414,4.09067023,3.095235035,0.164238123,0.52251938,0.005175842,4.116132117
2,CV144,C1_166.0,TLM,section,gsm_type_sec,sandy grey crystalline limestone,,,-9.395406723,-14.45478535,783.200841,39.51582609,706.7264345,29.36098306,82.10448945,0.236650955,23.67955414,145.8233017,17.19776142,0.806101402,0.751856853,2.245764061
1,CV37,C1_171_ICT_1,WMM,ict,gsm_type_ict,ls mudstone,,,-4.3221207,-15.89003754,20.07949415,0.808735974,24.97686273,0.213599964,1.4088992,0.05516613,2.617457361,1.241445478,2.110039226,2.095753206,0.003058681,0.683156671
1,CV38,C1_171_ICT_13,WMM,ict,gsm_type_ict,ls mudstone,,y,-3.6272686,-15.820364,16.46526989,0.627319088,29.2113889,0.159251187,0.620343211,0.7125576,1.323022967,1.235739174,1.215058906,0.895484822,0.00097332,0.519756878
1,CV40,C1_171_ICT_14,WMM,ict,gsm_type_ict,ls mudstone,,,-2.5378156,-15.89345169,9.762163925,0.473315662,19.55850013,0.091305781,0.169999327,0.269000799,2.159214111,0.943887126,0.49574333,3.06163261,0.00257473,0.820130631
1,CV36,C1_171_ICT_23,WMM,ict,gsm_type_ict,ls mudstone,,,-5.1657019,-15.86064148,10.41734019,0.890523765,13.62946682,0.30881536,1.333623563,0.066192607,5.944931773,3.720668464,2.287435552,0.60761748,0.005089531,0.56027791
1,CV41,C1_171_ICT_25,WMM,ict,gsm_type_ict,ls mudstone,,,-2.3778145,-15.83648491,7.377761314,0.54805968,24.07906974,0.133276948,0.330109112,0.392383671,1.809454015,1.291626072,0.673968682,1.692517776,0.001982583,0.695467632
1,CV35,C1_171_ICT_27,WMM,ict,gsm_type_ict,ls mudstone,,,-6.3850598,-15.98455811,13.65484578,0.753878706,23.25399923,0.346348377,0.843994153,1.142097109,4.228074924,3.919345878,1.484472911,0.632021169,0.023270148,1.045647215
1,CV39,C1_171_ICT_28,WMM,ict,gsm_type_ict,ls mudstone,,,-2.7232685,-15.86771393,13.23949105,0.516842176,24.57031886,0.099144474,0.517152182,0.33915019,1.81030021,0.830596627,0.987496845,2.397761319,0.000820183,0.652278023
1,CV45,C1_171_ICT_29,WMM,ict,gsm_type_ict,ls mudstone,,,0.7904439,-14.1596365,10.07793662,0.217208435,23.00522328,0.063976156,-0.049576309,0.947158957,0.703568036,0.110546377,0.06879896,2.848129802,-0.000213902,0.30277272
1,CV44,C1_171_ICT_35,WMM,ict,gsm_type_ict,ls mudstone,,y,-0.7956858,-15.62471008,7.763857117,0.248213259,18.44535532,0.049003076,0.032330515,0.601078788,0.471953823,0.402492775,0.223264829,2.561417656,0.000755306,0.288169384
1,CV43,C1_190.5_ICT_1,WMM,ict,gsm_type_ict,ls mudstone,,,-1.1939731,-15.80351639,7.733417514,0.840006408,16.03255184,0.115449001,0.147745494,0.638661664,1.230557871,0.81974768,0.349564127,2.800708201,0.00145609,0.511626744
